,question_id,poll_id,state,pollster_id,pollster,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,internal,url,race_id,answer,candidate_id,candidate_name,candidate_party,pct,start_date,end_date,created_at,Poll_Time,end_date_month,end_date_year
27,136537,72757,Nebraska CD-2,1365,Change Research,Change Research,48.0,Change Research,C-,547.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1RQaEpV6kT3qV2b5P2B_AQgnS2CAJdgJaioH_10hO4qU/edit#gid=1652054673,8718,Jorgensen,14611,Jo Jorgensen,LIB,2.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 21:32:00,4 days,11,2020
28,136544,72762,Montana,1365,Change Research,Change Research,48.0,Change Research,C-,920.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1MPKy3AfXEIpcB_0jKhq8y7_cxPyH_71cUY4zO2lTGfU/edit#gid=0,6237,Biden,13256,Joseph R. Biden Jr.,DEM,45.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 22:12:00,4 days,11,2020
29,136544,72762,Montana,1365,Change Research,Change Research,48.0,Change Research,C-,920.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1MPKy3AfXEIpcB_0jKhq8y7_cxPyH_71cUY4zO2lTGfU/edit#gid=0,6237,Trump,13254,Donald Trump,REP,50.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 22:12:00,4 days,11,2020
30,136544,72762,Montana,1365,Change Research,Change Research,48.0,Change Research,C-,920.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1MPKy3AfXEIpcB_0jKhq8y7_cxPyH_71cUY4zO2lTGfU/edit#gid=0,6237,Jorgensen,14611,Jo Jorgensen,LIB,2.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 22:12:00,4 days,11,2020
31,136602,72801,Maine,1365,Change Research,Change Research,48.0,Change Research,C-,1024.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,6232,Biden,13256,Joseph R. Biden Jr.,DEM,52.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:30:00,4 days,11,2020
32,136602,72801,Maine,1365,Change Research,Change Research,48.0,Change Research,C-,1024.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,6232,Trump,13254,Donald Trump,REP,40.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:30:00,4 days,11,2020
33,136602,72801,Maine,1365,Change Research,Change Research,48.0,Change Research,C-,1024.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,6232,Jorgensen,14611,Jo Jorgensen,LIB,4.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:30:00,4 days,11,2020
34,136602,72801,Maine,1365,Change Research,Change Research,48.0,Change Research,C-,1024.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,6232,Hawkins,14612,Howie Hawkins,GRE,2.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:30:00,4 days,11,2020
35,136601,72802,Maine CD-2,1365,Change Research,Change Research,48.0,Change Research,C-,475.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,8423,Biden,13256,Joseph R. Biden Jr.,DEM,47.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:30:00,4 days,11,2020
36,136601,72802,Maine CD-2,1365,Change Research,Change Research,48.0,Change Research,C-,475.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,8423,Trump,13254,Donald Trump,REP,46.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:30:00,4 days,11,2020
37,136601,72802,Maine CD-2,1365,Change Research,Change Research,48.0,Change Research,C-,475.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,8423,Jorgensen,14611,Jo Jorgensen,LIB,4.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:30:00,4 days,11,2020
38,136601,72802,Maine CD-2,1365,Change Research,Change Research,48.0,Change Research,C-,475.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,8423,Hawkins,14612,Howie Hawkins,GRE,1.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:30:00,4 days,11,2020
39,136605,72802,Maine CD-2,1365,Change Research,Change Research,48.0,Change Research,C-,475.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,8423,Biden,13256,Joseph R. Biden Jr.,DEM,50.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:33:00,4 days,11,2020
40,136605,72802,Maine CD-2,1365,Change Research,Change Research,48.0,Change Research,C-,475.0,lv,lv,Online,False,https://docs.google.com/spreadsheets/d/1eBWQtr-cx1ECGu-dsFcF_VdhnFfyRPd3qz3zcTmhdFY/edit#gid=1166077921,8423,Trump,13254,Donald Trump,REP,50.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:33:00,4 days,11,2020
41,136606,72803,Maine CD-1,1365,Change Research,Change Research,48.0,Change Research,C-,549.0,lv,lv,Online,False,https://twitter.com/ChangePolls/status/1323482851837317121,8422,Biden,13256,Joseph R. Biden Jr.,DEM,56.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:36:00,4 days,11,2020
42,136606,72803,Maine CD-1,1365,Change Research,Change Research,48.0,Change Research,C-,549.0,lv,lv,Online,False,https://twitter.com/ChangePolls/status/1323482851837317121,8422,Trump,13254,Donald Trump,REP,35.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:36:00,4 days,11,2020
43,136606,72803,Maine CD-1,1365,Change Research,Change Research,48.0,Change Research,C-,549.0,lv,lv,Online,False,https://twitter.com/ChangePolls/status/1323482851837317121,8422,Jorgensen,14611,Jo Jorgensen,LIB,2.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:36:00,4 days,11,2020
44,136606,72803,Maine CD-1,1365,Change Research,Change Research,48.0,Change Research,C-,549.0,lv,lv,Online,False,https://twitter.com/ChangePolls/status/1323482851837317121,8422,Hawkins,14612,Howie Hawkins,GRE,3.0,2020-10-29 00:00:00,2020-11-02 00:00:00,2020-11-02 23:36:00,4 days,11,2020
45,136341,72653,Arizona,744,Ipsos,Ipsos,154.0,Ipsos,B-,610.0,lv,lv,Online,False,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/topline_reuters_arizona_state_poll_w6_11_2_2020.pdf,6214,Biden,13256,Joseph R. Biden Jr.,DEM,50.0,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 14:25:00,6 days,11,2020
46,136341,72653,Arizona,744,Ipsos,Ipsos,154.0,Ipsos,B-,610.0,lv,lv,Online,False,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/topline_reuters_arizona_state_poll_w6_11_2_2020.pdf,6214,Trump,13254,Donald Trump,REP,48.0,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 14:25:00,6 days,11,2020
47,136342,72653,Arizona,744,Ipsos,Ipsos,154.0,Ipsos,B-,610.0,lv,lv,Online,False,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/topline_reuters_arizona_state_poll_w6_11_2_2020.pdf,6214,Biden,13256,Joseph R. Biden Jr.,DEM,50.0,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 14:26:00,6 days,11,2020
48,136342,72653,Arizona,744,Ipsos,Ipsos,154.0,Ipsos,B-,610.0,lv,lv,Online,False,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/topline_reuters_arizona_state_poll_w6_11_2_2020.pdf,6214,Trump,13254,Donald Trump,REP,47.0,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 14:26:00,6 days,11,2020
49,136342,72653,Arizona,744,Ipsos,Ipsos,154.0,Ipsos,B-,610.0,lv,lv,Online,False,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/topline_reuters_arizona_state_poll_w6_11_2_2020.pdf,6214,West,14699,Kanye West,IND,1.0,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 14:26:00,6 days,11,2020
50,136342,72653,Arizona,744,Ipsos,Ipsos,154.0,Ipsos,B-,610.0,lv,lv,Online,False,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/topline_reuters_arizona_state_poll_w6_11_2_2020.pdf,6214,Jorgensen,14611,Jo Jorgensen,LIB,1.0,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 14:26:00,6 days,11,2020
51,136342,72653,Arizona,744,Ipsos,Ipsos,154.0,Ipsos,B-,610.0,lv,lv,Online,False,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-11/topline_reuters_arizona_state_poll_w6_11_2_2020.pdf,6214,Hawkins,14612,Howie Hawkins,GRE,0.0,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 14:26:00,6 days,11,2020
52,136547,72765,Florida,1522,Swayable,Swayable,543.0,Swayable,D-,1261.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6220,Biden,13256,Joseph R. Biden Jr.,DEM,53.0,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:12:00,6 days,11,2020
53,136547,72765,Florida,1522,Swayable,Swayable,543.0,Swayable,D-,1261.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6220,Trump,13254,Donald Trump,REP,45.5,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:12:00,6 days,11,2020
54,136547,72765,Florida,1522,Swayable,Swayable,543.0,Swayable,D-,1261.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6220,Jorgensen,14611,Jo Jorgensen,LIB,0.8,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:12:00,6 days,11,2020
55,136547,72765,Florida,1522,Swayable,Swayable,543.0,Swayable,D-,1261.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6220,Hawkins,14612,Howie Hawkins,GRE,0.8,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:12:00,6 days,11,2020
56,136552,72770,North Carolina,1522,Swayable,Swayable,543.0,Swayable,D-,690.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6238,Biden,13256,Joseph R. Biden Jr.,DEM,52.3,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
57,136552,72770,North Carolina,1522,Swayable,Swayable,543.0,Swayable,D-,690.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6238,Trump,13254,Donald Trump,REP,46.4,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
58,136552,72770,North Carolina,1522,Swayable,Swayable,543.0,Swayable,D-,690.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6238,Jorgensen,14611,Jo Jorgensen,LIB,1.0,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
59,136552,72770,North Carolina,1522,Swayable,Swayable,543.0,Swayable,D-,690.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6238,Hawkins,14612,Howie Hawkins,GRE,0.3,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
60,136555,72773,Pennsylvania,1522,Swayable,Swayable,543.0,Swayable,D-,1107.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6249,Biden,13256,Joseph R. Biden Jr.,DEM,49.9,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
61,136555,72773,Pennsylvania,1522,Swayable,Swayable,543.0,Swayable,D-,1107.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6249,Trump,13254,Donald Trump,REP,48.4,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
62,136555,72773,Pennsylvania,1522,Swayable,Swayable,543.0,Swayable,D-,1107.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6249,Jorgensen,14611,Jo Jorgensen,LIB,1.7,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
63,136556,72774,Texas,1522,Swayable,Swayable,543.0,Swayable,D-,1151.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6254,Biden,13256,Joseph R. Biden Jr.,DEM,47.2,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
64,136556,72774,Texas,1522,Swayable,Swayable,543.0,Swayable,D-,1151.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6254,Trump,13254,Donald Trump,REP,51.2,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
65,136556,72774,Texas,1522,Swayable,Swayable,543.0,Swayable,D-,1151.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6254,Jorgensen,14611,Jo Jorgensen,LIB,1.2,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
66,136556,72774,Texas,1522,Swayable,Swayable,543.0,Swayable,D-,1151.0,lv,lv,Online,False,https://www.swayable.com/polls/2020-11-02-large.html,6254,Hawkins,14612,Howie Hawkins,GRE,0.4,2020-10-27 00:00:00,2020-11-02 00:00:00,2020-11-02 22:13:00,6 days,11,2020
76,136358,72661,Georgia,262,Landmark Communications,Landmark Communications,166.0,Landmark Communications,B,500.0,lv,lv,IVR/Live Phone,False,https://www.realclearpolitics.com/docs/2020/FINAL_WSBTV_Landmark_Poll_Georgia_PresSenate_Nov_1_2020.pdf,6221,Biden,13256,Joseph R. Biden Jr.,DEM,46.0,2020-11-01 00:00:00,2020-11-01 00:00:00,2020-11-02 15:43:00,0 days,11,2020
77,136358,72661,Georgia,262,Landmark Communications,Landmark Communications,166.0,Landmark Communications,B,500.0,lv,lv,IVR/Live Phone,False,https://www.realclearpolitics.com/docs/2020/FINAL_WSBTV_Landmark_Poll_Georgia_PresSenate_Nov_1_2020.pdf,6221,Trump,13254,Donald Trump,REP,50.1,2020-11-01 00:00:00,2020-11-01 00:00:00,2020-11-02 15:43:00,0 days,11,2020
78,136358,72661,Georgia,262,Landmark Communications,Landmark Communications,166.0,Landmark Communications,B,500.0,lv,lv,IVR/Live Phone,False,https://www.realclearpolitics.com/docs/2020/FINAL_WSBTV_Landmark_Poll_Georgia_PresSenate_Nov_1_2020.pdf,6221,Jorgensen,14611,Jo Jorgensen,LIB,2.7,2020-11-01 00:00:00,2020-11-01 00:00:00,2020-11-02 15:43:00,0 days,11,2020
83,136287,72623,Illinois,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6225,Biden,13256,Joseph R. Biden Jr.,DEM,55.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
84,136287,72623,Illinois,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6225,Trump,13254,Donald Trump,REP,38.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
85,136288,72624,Michigan,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6233,Biden,13256,Joseph R. Biden Jr.,DEM,50.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
86,136288,72624,Michigan,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6233,Trump,13254,Donald Trump,REP,43.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
87,136289,72625,Minnesota,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6234,Biden,13256,Joseph R. Biden Jr.,DEM,52.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
88,136289,72625,Minnesota,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6234,Trump,13254,Donald Trump,REP,43.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
89,136290,72626,New Jersey,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6242,Biden,13256,Joseph R. Biden Jr.,DEM,56.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
90,136290,72626,New Jersey,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6242,Trump,13254,Donald Trump,REP,38.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
91,136291,72627,New York,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6245,Biden,13256,Joseph R. Biden Jr.,DEM,61.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
92,136291,72627,New York,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6245,Trump,13254,Donald Trump,REP,33.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
93,136292,72628,Ohio,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6246,Biden,13256,Joseph R. Biden Jr.,DEM,47.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
94,136292,72628,Ohio,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6246,Trump,13254,Donald Trump,REP,47.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
95,136293,72629,Pennsylvania,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6249,Biden,13256,Joseph R. Biden Jr.,DEM,50.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
96,136293,72629,Pennsylvania,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6249,Trump,13254,Donald Trump,REP,44.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:28:00,1 days,11,2020
97,136294,72630,Wisconsin,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6259,Biden,13256,Joseph R. Biden Jr.,DEM,50.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:29:00,1 days,11,2020
98,136294,72630,Wisconsin,1478,Research Co.,Research Co.,449.0,Research Co.,B-,450.0,lv,lv,Online,False,https://researchco.ca/2020/11/02/us2020-eight-states-uspoli/,6259,Trump,13254,Donald Trump,REP,42.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 09:29:00,1 days,11,2020
99,136312,72640,Pennsylvania,399,Rasmussen Reports/Pulse Opinion Research,Rasmussen Reports/Pulse Opinion Research,277.0,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,lv,IVR/Online,False,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/pennsylvania_biden_49_trump_45,6249,Biden,13256,Joseph R. Biden Jr.,DEM,50.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 11:20:00,1 days,11,2020
100,136312,72640,Pennsylvania,399,Rasmussen Reports/Pulse Opinion Research,Rasmussen Reports/Pulse Opinion Research,277.0,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,lv,IVR/Online,False,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/pennsylvania_biden_49_trump_45,6249,Trump,13254,Donald Trump,REP,47.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 11:20:00,1 days,11,2020
101,136318,72643,Ohio,399,Rasmussen Reports/Pulse Opinion Research,Rasmussen Reports/Pulse Opinion Research,277.0,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,lv,IVR/Online,False,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/ohio_trump_48_biden_45,6246,Biden,13256,Joseph R. Biden Jr.,DEM,45.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 12:06:00,1 days,11,2020
102,136318,72643,Ohio,399,Rasmussen Reports/Pulse Opinion Research,Rasmussen Reports/Pulse Opinion Research,277.0,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,lv,IVR/Online,False,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/ohio_trump_48_biden_45,6246,Trump,13254,Donald Trump,REP,49.0,2020-10-31 00:00:00,2020-11-01 00:00:00,2020-11-02 12:06:00,1 days,11,2020
121,136044,72491,Florida,461,Susquehanna Polling & Research Inc.,Susquehanna Polling & Research Inc.,326.0,Susquehanna Polling & Research Inc.,C,400.0,lv,lv,Automated Phone,False,https://overland.amgreatness.com/app/uploads/2020/11/Toplines-Florida-CFAG-Oct2020-2.pdf,6220,Biden,13256,Joseph R. Biden Jr.,DEM,46.0,2020-10-29 00:00:00,2020-11-01 00:00:00,2020-11-01 11:31:00,3 days,11,2020
